"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","Проверка получения данных о неавторизованном пользователе","tests.functional.get_v1_account","2025-09-05","passed","2025-09-05","Позитивный и негативный тесты GET v1/account","Тесты на проверку метода GET v1/account","",""
"","223","Проверка регистрации нового пользователя с невалидными данными","tests.functional.post_v1_account","2025-09-05","passed","2025-09-05","Позитивный и негативный тесты POST v1/account","Тесты на проверку метода POST v1/account","",""
"","277","Проверка регистрации нового пользователя","tests.functional.post_v1_account","2025-09-05","passed","2025-09-05","Позитивный и негативный тесты POST v1/account","Тесты на проверку метода POST v1/account","",""
"","1073","Проверка смены пароля пользователя","tests.functional.put_v1_account_password","2025-09-05","passed","2025-09-05","","test_put_v1_account_password","",""
"","572","Проверка авторизации пользователя","tests.functional.post_v1_account_login","2025-09-05","passed","2025-09-05","","test_post_v1_account_login","",""
"","1327","Проверка логаута текущего пользователя","tests.functional.delete_v1_account_login","2025-09-05","passed","2025-09-05","","test_delete_v1_account_login","",""
"","154","Проверка получения данных об авторизованном пользователе","tests.functional.get_v1_account","2025-09-05","passed","2025-09-05","Позитивный и негативный тесты GET v1/account","Тесты на проверку метода GET v1/account","",""
"","645","Проверка логаута текущего пользователя со всех устройств","tests.functional.delete_v1_account_login_all","2025-09-05","passed","2025-09-05","","test_delete_v1_account_login_all","",""
"","391","Проверка активации токена","tests.functional.put_v1_account_token","2025-09-05","passed","2025-09-05","","test_put_v1_account_token","",""
"","254","Проверка регистрации нового пользователя с невалидными данными","tests.functional.post_v1_account","2025-09-05","passed","2025-09-05","Позитивный и негативный тесты POST v1/account","Тесты на проверку метода POST v1/account","",""
"","887","Проверка смены имейла пользователя","tests.functional.put_v1_account_email","2025-09-05","passed","2025-09-05","","test_put_v1_account_email","",""
"","266","Проверка регистрации нового пользователя с невалидными данными","tests.functional.post_v1_account","2025-09-05","passed","2025-09-05","Позитивный и негативный тесты POST v1/account","Тесты на проверку метода POST v1/account","",""
